-0:09 | (Member (2 months)) Kyuu (Reimu's wife) 
1:29:20 | (Member (2 months)) *¥320* Seiyuu: 女王様！！！！:crown::crown::crown::crown:愛してる！！！🥹🥹🥹:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::two_hearts::two_hearts::two_hearts:
1:29:20 | *NT$150.00* Dale
1:29:24 | *IDR 100,000.00* Teptepp : TSKR, gorgeous queen reimuuuuu :red_heart: I love Kaname-sama too :two_hearts: so happy to hear the song after so long thank you :loudly_crying_face::beating_heart:
1:29:33 | (Member (6 months)) Usny
1:29:37 | (Member (6 months)) juan2zero007: you look fantastic someone should make a doll of you
1:31:41 | *$5.00* Ignis [He•Him]: Okay miss girl, I'm loving your fashion sense rn. Bayonetta who?
1:32:18 | (New member) *NT$75.00* Rinna: You are so cute and pretty my queen:two_hearts:
1:33:03 | (Member (6 months)) *¥800* Ty - 0001: すばらしいお披露目でしたReimu。おヘソが見れるのは来年ですよね、ダイジョウブ、わかっています。もちろんこれからも応援しますよ！
1:33:13 | *$2.00* vante2: Enter a Room
1:33:45 | *NT$1,500.00* エムエム: 神
1:33:46 | (New member) zouraplayz
