0:56 | (Member (6 months)) Rova: :_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer:
0:56 | (Member (2 months)) Renyu: :_fanboy::_fanboy::_fanboy:
0:57 | (Member (6 months)) おいかわ: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
0:58 | (Member (6 months)) raeflux: :_headpat::_headpat::_headpat::_headpat:
0:58 | (Member (6 months)) Juji ʕ ꈍᴥꈍʔ: :_fanboy:IKEY WIKEY KAWAII:_fanboy:
0:58 | (Member (2 months)) Hanrin
0:58 | (Member (2 months)) まめた: :_glowstick1::_fanboy::_fanboy::_fanboy::_fanboy::_glowstick2:
0:59 | (Member (2 months)) Saku: :_fanboy::_fanboy::_fanboy:LOVE!!!!
0:59 | (Member (2 months)) Charm ieee: :_fanboy::_fanboy::_fanboy::_fanboy:
1:00 | (Member (2 months)) Crystal 杏: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:01 | (Member (6 months)) Venus: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
1:01 | (Member (2 months)) 珠洲〈Suzu〉: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2::_heart::_heart::_heart:
1:01 | (Member (2 months)) Nahnii
1:01 | (Member (1 month)) Volodya 江霁生: IKEY WIKEY KAWIIIIIIIIIIIIIII:_heart::_heart::_heart::_heart::_heart:
1:01 | (Member (1 month)) Astrid: ganbaree ikeyy:_cheer::_cheer:
1:02 | (Member (6 months)) toki: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:02 | (Member (6 months)) ユキナ: :_glowstick1::_excite::_glowstick2:
1:02 | (Member (6 months)) 澪月miotsuki: LET'S GOOOOOOOO!!!!:_cheer::_cheer::_cheer:
1:03 | (Member (2 months)) Sodium Carbnate: Let's goooooooooo:_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:04 | (Member (2 months)) Ploy: :_cheer::_cheer::_fanboy::_fanboy::_fanboy::_cheer::_cheer:
1:04 | (Member (2 months)) のん‪‪‪‪
1:05 | (Member (2 months)) KAI-LING: :_fanboy::_fanboy::_fanboy:
1:05 | (Member (2 months)) Hikari: :_glowstick1::_glowstick1::_glowstick1::_cheer::_cheer::_cheer::_glowstick2::_glowstick2::_glowstick2:
1:06 | (Member (2 months)) kuroneko: Let’s gooooo :_cheer::_cheer::_cheer::_cheer::_cheer:
1:06 | (Member (2 months)) ma: :_cheer::_cheer::_cheer:
1:06 | (Member (1 month)) Sorenna: ikey IKZZZZZ:_cheer::_cheer::_cheer::_cheer::_fanboy::_fanboy::_fanboy::_fanboy:
1:06 | (Member (6 months)) Kai: IKEEEEEE:_glowstick1::_glowstick1::_cheer::_fanboy::_cheer::_glowstick2::_glowstick2:
1:06 | (Member (2 months)) 蛋白_mimo: IKEY:_cheer:WIKEY:_cheer:KAWAII:_cheer::_cheer::_cheer:
1:07 | (Member (2 months)) wyx: IKZZZZZ:_glowstick1::_excite::_glowstick2:
1:08 | (Member (1 month)) くま: :_cheer::_cheer::_cheer:
1:08 | (Member (2 months)) Core: :_cheer::_cheer::_cheer::_cheer:
1:09 | (Member (6 months)) brian01: lets gooooo
1:09 | (Member (2 months)) yuse: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
1:09 | (Member (6 months)) TOMI TOMI: :_fanboy::_fanboy::_fanboy:
1:09 | (Member (6 months)) Olivia moe: :_glowstick1::_cheer::_glowstick2:
