-2:49 | (New member) jajai
1:04:13 | (Member (1 month)) ひとみ: :_ShuYay::_ShuFlex::_ShuFlex::_ShuFlex:
1:05:06 | (New member) 恩_ハル
1:05:12 | (Member (2 months)) qin
1:05:30 | (Member (2 months)) ysh
1:07:10 | (New member) minmin
1:08:02 | (New member) Lynn
1:10:09 | (Member (1 month)) *¥500* tanachan_たなちゃん: :_ShuWut::_ShuWut::_ShuWut:
1:10:13 | (Member (2 months)) *₱250.00* Hewwo
1:10:17 | (New member) SHOKメビス
1:10:24 | (Member (2 months)) *¥10,000* Leah W
1:10:32 | (New member) *$20.00* raayyye: niceeeeeeeeee
1:10:32 | (Member (1 month)) *CA$100.00* montblanc
1:10:54 | (Member (1 month)) *NT$150.00* ねいちゃん👟☯️: Shu Let's gooo！！
1:11:03 | (Member (2 months)) *¥2,000* 小羽儿Iris Yamining: oh！！my！！god！！！
1:11:04 | (Member (1 month)) *¥2,222* りんちゃん
1:11:06 | (New member) dawny
1:11:08 | (New member) jae barredo
1:11:37 | (Member (2 months)) Kurora Akarino🐧: POOOOOOOOOOOOOOG
1:12:06 | (Member (2 months)) *¥5,000* しおり
1:12:56 | (Member (2 months)) Fettuccinne: Shu Gamino
1:13:00 | (Member (1 month)) Lo i: POGGGGGG Shu:_ShuCool::_ShuCool:
1:13:18 | (New member) Siege ☯️ 🗡️
1:13:56 | (Member (2 months)) Sylvie Nyxious: SHU GAMINO:_ShuCool::_ShuCool::_ShuPog:
1:13:57 | (Member (1 month)) SCARLETT: Omg u r amazing
1:16:18 | (New member) はるHaru
1:16:51 | (Member (2 months)) *¥10,000* 迪（みち）: 楽しくって口角上がりっぱなしです！！！LETS GOOOO:_ShuLETSGO::_ShuLETSGO:
1:17:13 | (New member) *NT$1,690.00* Mikoya
1:18:05 | (Member (2 months)) *NT$1,500.00* Miruku
1:18:13 | (Member (2 months)) *NT$1,500.00* Emika Chien
1:18:17 | (New member) *¥6,100* いかめし
1:18:36 | (New member) 小秋天Aki
1:19:01 | (Member (2 months)) YF: :_ShuCool:GG
1:19:19 | (New member) nais-riri🔮👟
1:20:14 | (Member (2 months)) *NT$75.00* Slag🌽
1:20:19 | (New member) 貼貼Bot
1:21:05 | (Member (2 months)) 黒井ほこり: so gaming shu POOOOOOOG YOU:_ShuCool::_ShuCool:
1:21:15 | (New member) kagei
1:24:01 | (Member (1 month)) YenHsuan Chen: LETS GOOOOO
1:30:04 | (Member (2 months)) *¥10,000* Leah W
1:30:19 | (Member (2 months)) *NT$1,500.00* MaoLin: You are so crazyyyyyy:_ShuMonka::_ShuMonka::_ShuMonka: 1V5???WTF
1:30:22 | (Member (1 month)) *¥500* tanachan_たなちゃん: :hot_face::hot_face::hot_face:
1:30:34 | (Member (1 month)) *₱249.00* jayzel: wow
1:30:39 | (Member (1 month)) *HK$18.00* HANIIIʕ•ᴥ•ʔ🇭🇰
1:30:53 | (New member) koumiao
1:31:23 | (New member) LulukE
1:31:24 | (Member (2 months)) *₱500.00* Oats Curry [オツカレ]: let's go shu gamino!! :_ShuLETSGO::_ShuLETSGO::_ShuLETSGO:
1:31:30 | *¥200* ⚠️Cereal Killer Anna
1:31:35 | (New member) *MYR 15.00* Zyrene_Frost
1:32:12 | (Member (1 month)) *NT$300.00* Brandy: so crazy . he shot me!!! :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:32:36 | (Member (1 month)) *NT$300.00* IKUJI: he shot me :hot_face::hot_face::hot_face:
1:33:01 | (Member (2 months)) *SGD 20.00* Nanoka: sheeesh
1:33:04 | (New member) dekinaiキノコ
1:33:06 | (Member (2 months)) *¥2,000* Eve.: Amazing~!! Let's go Luxiem:clapping_hands:
1:33:25 | (Member (2 months)) *HK$25.00* 奈々子: :coffin:
1:34:22 | (New member) *MYR 15.00* Zyrene_Frost: Amazing Shu Gamino! LET'S GO LUXIEM!!!
1:35:28 | (Member (2 months)) とわ。
1:35:58 | (New member) zerotwo
1:36:39 | (Member (2 months)) *HK$500.00* Seiso Gie: Do you know why you're sweating? It's becoz you re too hot:_ShuItchy: Go get an ACE Shubert:_ShuLurk:
1:37:58 | (New member) *NT$1,500.00* ROLL: He shot me
1:38:11 | (Member (1 month)) *HK$25.00* Laylala
1:38:27 | *HK$10.76* malccy
1:38:27 | (Member (1 month)) TOBYYY EYYY: SHU GAMINGGGGGGGGGGGGGG POOOG:_ShuEvil:
1:38:43 | (Member (1 month)) *$10.00* Aurelio Miguel: ur plays today have been absolutely insane, shu gamino POG
1:39:02 | (Member (2 months)) *NT$150.00* Shouしょう
1:41:32 | (New member) *¥1,000* YuuMi1823
1:41:56 | (Member (2 months)) *HK$50.00* シュウマイ Shumai: shu gamino pog 
1:42:12 | (Member (2 months)) *NT$150.00* Kailin 風乎舞雩: he shot me, chat
1:43:01 | (New member) 01han
1:43:14 | (New member) *¥1,220* RRRRRITA: SHU!!!!!!!How did you stay calm and shoot so accurately? That's too hot!!!!!!!!!
1:43:47 | (Member (1 month)) 小焗烤🌼: Nice:hot_face::hot_face::crystal_ball:
1:44:26 | (New member) Baaammer or 3ummer
1:44:29 | (Member (1 month)) *NT$300.00* Brandy: Chat he shot me twice !
1:44:40 | (New member) C Michaelis
1:45:08 | *NT$75.00* Kaguya💜: You are really good at this game！！！！！ LOVE YOU:purple_heart:
1:48:35 | (New member) 0710 broccoli
1:49:37 | (New member) *¥150* Suzu
1:50:11 | (New member) *¥12,000* Jiu Jiu_선미이: tskr！！！
1:50:16 | (Member (2 months)) *HK$10.00* 奈々子
1:50:19 | (Member (2 months)) *HK$25.00* Katherine: Luxiem shot me, thank you, im dying:smiling_face_with_halo:
1:50:34 | (New member) *HK$50.00* so so: SHEEEESH
1:50:44 | (Member (1 month)) *NT$300.00* YAMITSU
1:50:57 | (New member) PININE
1:51:52 | (Member (2 months)) *NT$1,500.00* Yuri Yuri Yuri💜💛: SO HOT SHU YAMINO:_ShuHYPERS::_ShuHYPERS:
1:52:27 | (New member) *₱500.00* Miso: :banana::banana::banana::banana: SHU GAMINO :banana::banana::banana::banana:
1:52:57 | (New member) skelai
1:53:31 | (Member (1 month)) *MYR 30.00* Pei Jun: LETS GOOOOO
1:54:09 | (Member (1 month)) *$20.00* Euphoria: pop off :flexed_biceps:
1:55:39 | (Member (2 months)) *$1.99* celena t.: 2
1:56:07 | (Member (2 months)) *NT$22.00* 霜 Shimo
1:56:25 | (Member (1 month)) *NT$22.00* Banana Sardinium
1:56:28 | (Member (2 months)) *HK$10.00* Katherine: in shu we believe:place_of_worship:
1:57:10 | *CA$5.00* アルコバレーノArcobaleno: Too hot gaming Shu!!! Sending this supa (first ever), trying hard to restrain myself from being down bad for Shu XD 
1:57:16 | *NT$33.00* Totoya
1:57:35 | (New member) Yu
1:58:28 | (Member (1 month)) ELI ELY🌻エリエリ: SHUFFLE BATTLE LETS GOOOOO
1:58:56 | (New member) 希c
2:00:15 | (New member) Windy
2:09:07 | (Member (2 months)) lukey
2:11:24 | (New member) mangojuice
2:12:44 | (New member) Natt
2:12:58 | (New member) Mayu
2:14:28 | (New member) *HK$158.00* Eiling: :purple_heart:cool！！！
2:14:52 | (Member (2 months)) Gatta Chen: Shu gogogogogo
2:17:57 | (Member (1 month)) 14th nights: :water_pistol::bear::water_pistol::bear:
2:19:35 | (New member) 特級可愛咒術師鴨米糯
2:22:13 | (New member) Cassie_💜
2:22:55 | (Member (1 month)) yangzhun: :_ShuOMEGALUL::_ShuOMEGALUL::_ShuOMEGALUL::_ShuOMEGALUL::_ShuOMEGALUL:
2:23:46 | (New member) Hamin
2:24:42 | (Member (2 months)) *$1.49* saehee jung
2:25:47 | (Member (1 month)) DORO: NICE!!!
2:26:13 | (New member) *NT$1,500.00* 娜希Nashi: YOU SHOT MY HEART :hot_face::hot_face: YOU SO HOT OMG:hot_face::hot_face:
2:26:17 | (Member (1 month)) Elena: :_ShuCool::_ShuCool::_ShuCool:
2:26:30 | (Member (2 months)) Toru❤️とる✧*。: You’re so amazing OMG
2:26:32 | (New member) L
2:26:35 | (New member) Emma
2:28:30 | (New member) *HK$8.00* Sunaちゃん
2:28:59 | (New member) Akagi_
2:29:41 | (New member) Angel Ling
2:30:42 | (New member) Del
