-4:37 | (Member (6 months)) OkTank
39:58 | *¥6,100* hamuハムちゃん: 新衣装おめでとうございます:party_popper::sparkles:SO CUTE:orange_heart::orange_heart::orange_heart:
39:59 | *A$5.00* yuz: THAT GACHA EFFECT WAS SO BIG BRAIN TYSM PETRA :orange_heart::orange_heart::orange_heart::orange_heart:
40:07 | (Member (6 months)) *CA$5.00* darkblade2232: AHHHHHHH IT LOOKS SO GOOD. SO PRETTY AND CUTEEEEEEEEEEEEEE :_petoLove::_petoLove::_petoLove::_petoLove::_petoPogtra::_petoPogtra::_petoPogtra::_petoDed::_petoDed:
40:09 | (Member (6 months)) Zhi Jian: give me back 3* pettan petra
40:15 | (Member (2 months)) Iluvdelutaya
40:23 | (Member (1 month)) *$10.00* Hannah: #1 mit pentomo just told me his card got declined so here's the fees for the gems
40:23 | (New member) *$50.00* val3ntin307: pulling again
40:40 | (Member (6 months)) *¥1,000* 2Ne7 rum: イメージ変わるかなって思ったけど面影もあって安心しました、かわいい
40:43 | (Member (2 months)) *$5.00* Luke D: You look amazing!
40:43 | *¥200* Non-Non-noah
40:45 | *¥500* Taiga: :star::star::star::star::star:
40:50 | (Member (6 months)) *R$100.00* Thiago TGM: This outfit is so cute I can't :_petoCheer::_petoLove::_petoTskr:
41:31 | *¥1,220* sio: It's SO CUTE:double_exclamation_mark:︎
41:31 | (Member (1 month)) *CA$20.00* Kebby: The outfit is so good! I love this combat penguin! 
41:35 | (Member (6 months)) darkblade2232: Gifted 1 Petra Gurin【NIJISANJI EN】 memberships
41:51 | (Member (6 months)) *SGD 24.34* TRI 「トライ 三」: CONGRATS ON NEW OUTFIT PETRA!!!! I ALWAYS BELIEVED IN THE SSR UNDER THE HOODIE! I'M GLAD THE NOSE STRAT WORKED! YOU ARE OUR BELOVED SSR+++++ PENGUIN :orange_heart::penguin::place_of_worship:
42:02 | (Member (6 months)) Mini rune3: :_petoNyoom:HAND:_petoNyoom:
42:13 | *₱50.00* walanjo: your efforts are always appreciated. congrats :two_hearts:
42:17 | (Member (6 months)) *$5.00* Sidewayz2013: The post puberty glow up, frfr... you are so goregous Petra~ :_petoLove::_petoLove::_petoLove:
42:26 | *$19.99* TheDeletedFile
42:30 | (Member (6 months)) *¥1,000* DoJ: 誰ぇ・・・あっ鼻がないなんだぺちょらか。かわいくなったねぇ:_petoLove:
42:31 | (Member (2 months)) *$25.00* Alex Riley: You're already perfect and this outfit is SOOOO SOOO perfect I can't get over it you're too beautiful! :_petoLove::_petoLove::_petoTskr::_petoTskr:
42:34 | *¥1,000* 昆布wakame: 星5新衣装ありがとう…大人っぽさもあってかわいい(T-T)
42:58 | (Member (6 months)) Asmorein: BREAD:_petoFlushed2:
43:07 | *MYR 2.50* Mikadesu~
43:15 | (Member (6 months)) ちゃんりお(Rio): アイドルぺちょらTSKR
43:21 | *$5.00* Azuraug: Sorry petra, I am no longer looking respectfully
43:53 | (New member) *¥500* ねね みみ-Nene Mimi-: ほんとかわいー！:orange_heart::orange_heart::orange_heart:
44:08 | (New member) J Z
44:10 | (New member) Rein
44:14 | *₱50.00* coach potato: Those ain't bread, those are Rosemi's donuts
44:22 | (Member (1 month)) TheQuantumCat: Got booba still no nose
44:24 | (Member (6 months)) *¥500* スフィアマスター: OH MY GOD Petra is BOIN BOIN now!? :_petoNyoom::_petoNyoom::_petoNyoom:
44:37 | (New member) む
44:45 | (New member) 晴風
45:00 | (Member (2 months)) Kai 
45:01 | *¥1,220* しち: めっちゃかわいい；； ありがとう大好きです
45:22 | (Member (6 months)) *$50.00* JuicedSkittles: Love your new outfit Petra hime-sama. Almost done with school & work, and this made my day. You look fabulous, intelligent, and enchanting lady. Your outfit looks spectacular and gives off the Persona/SMT Idol vibes. Must protect Petra hime-sama :heart_with_arrow:
45:26 | *¥200* ツツイチ221: cute
45:34 | *ARS 200.00* Bucownsky: HOW THE F I'M SUPPOSED TO BULLY THIS PENGU NOW!?!? I CAN'T
45:41 | (Member (6 months)) *MX$20.00* shaorandres3: YE-YEAH super human like! *looks nervouslyat tail*
46:00 | (New member) Spica
46:05 | (Member (2 months)) *₱250.00* Deedee: you dont look as bulliable anymore Petra :loudly_crying_face:youre so beautiful
46:05 | (Member (2 months)) ゆー
46:08 | (Member (6 months)) *₱50.00* Sen Piee: She's not a baby now. :loudly_crying_face:
46:32 | (New member) 小老哥
46:36 | *CLP 2,500* Fel: Is the black clothing underneath a one piece from arms to legs?? Just a reference for the Artists.
46:54 | (New member) Yunny
46:56 | *NT$150.00* Jack Galileo: oh ~~~ lovely Petra. smell good
47:08 | (Member (6 months)) *¥200* DoJ: もどして
47:14 | *$2.00* IAD: Petra growth spurt
47:28 | (Member (2 months)) 孤之界
47:52 | (Member (6 months)) *HK$50.00* AKK: Your new boots got 10cm heels?
