Timestamp,Name,Comment,Language
31:22,| Sage Darling, Waiting for my praise :smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns:,en
1:35:17,| 🌤️pHo_O🦁, awwwww cute :two_hearts:,en
3:16:44,| C M, :fire::fire::fire::fire::fire:,en
4:49:33,| puppycat, :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:,en
1:36:00,| (Member (1 month)) Yameii, you're doing so welll,en
3:27:20,| 伏見ソラ, we love you too,en
3:03:00,| (Member (2 months)) Ying Azelas, IS HE CRYING ALSO,en
3:33:24,| Suspicious_Snake, it's obsidain,en
1:28:44,| Felisita Liberta, :red_heart:,en
1:04:32,| (New member) cloud 200, :_finanaBlush::_finanaBlush:,en
1:46:33,| Daz Osamu, SCARLE CYUTEE,en
37:03,| Reii (rei with the double i), CUTEEEEEEEKDJSKSNFJEKFBEJFJRJXJRNDKFBJEBCD,en
3:14,| (Member (1 month)) Aichii, just arrived in school:_verComfy:,en
37:16,| (Member (2 months)) Arash, together,en
1:23:51,| (New member) Rulan the Kyorphan (๑•̀ㅁ•́ฅ), down bad rn:_renAYO::_renAYO::_renAYO:,en
1:52:09,| Amara Kyz, you did say that you were on your knees boss!! so how will we know!? HAHAHAHAHAHA lmao,en
35:08,| Drakoji, I know my oshi too well.,en
48:53,| nabi, 🫶:blue_heart:🫶:blue_heart:🫶:blue_heart:,en
29:49,| POGPOG, :yellow_heart::yellow_heart::yellow_heart:,en
1:24:54,| 🌤️pHo_O🦁, :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,en
2:55:27,| CherryBlosm, RIZZMASTERS :purple_heart::yellow_heart:,en
16:41,| (New member) sonrifalsa -サリィ-, :_sonnyLight::_sonnyLight::_sonnyLight:,en
4:55:10,| Ion Rey, :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:,en
1:21:52,| (New member) Robed Enderman, my officemate is asking why am i so pushed into my office desk,en
1:29:51,| kurokii, shotoo,en
3:35:13,| (Member (2 months)) solyen, :_YuQHeart::_YuQHeart::_YuQHeart:,en
1:22,| jiaxx, :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,en
1:36:44,| Rose for you, So can I have a kiss?,en
7:02,| (New member) Reihven Aster, hi shu and piochan,en
32:46,| Chiharu, :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:,en
54:34,| (New member) Lynn, :_sonnyLight::_sonnyNipaa::_sonnyLight:,en
1:53:36,| Triple A, i wont breath until you give us kiss,en
23:34,| (New member) •Arianny•, :_hexCozy::_hexCozy::_hexLove::_hexLove:,en
1:54:56,| Akemiu, refresh guyss,en
55:14,| (Member (2 months)) Wikie, :_MillieHeart::_MillieHeart::_MillieHeart:,en
2:26,| 孟凌, :purple_heart::purple_heart::purple_heart::purple_heart:,en
24:05,| Lilly Hong, :baguette_bread::baguette_bread::baguette_bread:,en
2:22:07,| (New member) hibin, :purple_heart::purple_heart::purple_heart::purple_heart:,en
44:01,| Kyle, YOU CAN DO IT WOSEMI SAMA :red_exclamation_mark::red_exclamation_mark::red_exclamation_mark::red_exclamation_mark::red_exclamation_mark:,en
1:07:18,| (Member (6 months)) JShadow, Not physicaly possible feesh,en
2:16:16,| chorin, oooh im excited,en
28:01,| Kim Chang, :yellow_heart::yellow_heart::yellow_heart:,en
27:01,| MilWendy, :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,en
9:57,| 詩云 shiyun, happy birthday to you,en
58:42,| Reana., WOW it’s shining ,en
3:13:33,| AceOfTrades, :blue_heart::blue_heart::blue_heart:,en
1:34:34,| (Member (2 months)) myrrhmidon, :_MariLight2::_MariLight::_MariLight2::_MariLight:,en
1:51:37,| Kurokishizx, AYO WHATS THIS,en
1:33:48,| (New member) Tenshi Rin, :flushed_face::flushed_face::flushed_face:,en
1:19:20,| (Member (2 months)) uwuwuwus, can u say keep your eyes on lethal force,en
3:31,| (Member (1 year)) Takanuva, That walk is so sultry,en
3:07:19,| Dawner, Sponsor AD break LOL,en
4:35:12,| (New member) SkyBeats, charger kun carrying,en
8:09,| おもち, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
1:00:03,| (New member) 紫煙, That’s exciting(?,en
57:56,| (Member (6 months)) It’s Furina’s Wet and Loyal Pet, :_finanaDrool::_finanaDrool: tskr,en
4:30,| Live, Water asmr,en
7:22,| (New member) Voltaire Belmont, Yu are going to be Under the table,en
5:16,| 3XCLUS1VE.C0M, UR SO CUTE :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:,en
2:52:42,| rainholdt, whos the big boy? yes you are,en
2:53:02,| (New member) ʎpuı̣ʍwindy, :purple_heart::yellow_heart::purple_heart::yellow_heart:,en
3:34,| ginmin, Hi sonny!!!! Happy birthday!!!,en
36:08,| (New member) ゆめこ, :yellow_heart::yellow_heart::yellow_heart:,en
1:22:18,| Haruko, :red_heart::red_heart::red_heart:,en
4:29:01,| Ly Vio, are they okay,en
43:15,| Aikawa, :blue_heart::blue_heart::blue_heart::blue_heart:,en
47:06,| neko_803, :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:,en
11:48,| Angelo Walker, Is the mic that sensitive,en
1:45:13,| Shea Brisko, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
25:57,| Roku 禄, :baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
2:30,| 雨暮暮, :sparkling_heart::blue_heart::green_heart::yellow_heart::yellow_heart:,en
10:08,| FALLON., THAT WAS SO SEXY,en
1:32:16,| Nox Chii," we will love you forever, reggmu u3u ",en
3:36:47,| leyboo, THANK YOUU SHUUUUU YOU DI SO FREAKING GREATTTTAHSHSHSHS,en
23:09,| (New member) Ria, Finance is not seiso,en
1:44:29,| theboops, could you say bubble wrap and crisps?,en
3:34:01,| 山崎由紀, shu u did so great:loudly_crying_face::loudly_crying_face:,en
35:22,| Kira-kira キラキラ, oh my ?! :yellow_heart:,en
48:13,| Qorinthia, JAZZ ON THE CLOCK PLS,en
15:14,| weiwei, i rly love this aaaaa,en
35:09,| Saxi, omg the hair,en
9:15,| Viko, :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,en
