1:18 | (New member) るい 💎 Rui: hi uki:_UkiHeart::_UkiHeart::_UkiHeart:
1:18 | (New member) Sara(thirdwheeler): uki uki daisuki
1:18 | 백백이: hewwo uki :purple_heart::purple_heart:
1:18 | SHiKi: it's 10am here but I am ready to sleep again haha
1:19 | Ghost: bye precchat <3
1:19 | snji__.: UKIII:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:19 | gwin_nie: hiiiii
1:19 | gyuvonriegan: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:19 | diiire: hi ukiii
1:20 | tanimqtamo: hi uki and stargazers :purple_heart::purple_heart:
1:20 | (Member (2 months)) えんちゃう: :_UkiHeart::_UkiHeart:
1:20 | SteamIsHotWater: perfect timing its like 3am and I cant sleep thanks ukii :purple_heart::purple_heart:
1:20 | (Member (2 months)) ズオヤン: hi chat
1:20 | Blepp: UKIIII :purple_heart::purple_heart:
1:20 | squirralicious : Hii Ukiii!!!! :purple_heart::purple_heart::purple_heart:
1:21 | 朱华 : Hello everyone!!
1:21 | Felicity: hello ukiiii :purple_heart::purple_heart::purple_heart:
1:21 | Tericca:]: Hhhhhiiii
1:21 | Kuro kessho: Its 10:00 for me rn
1:21 | (Member (2 months)) ゆう: :_UkiHeart::_UkiHeart:
1:22 | (Member (2 months)) Adhelheid ⚡🌌: :_UkiHeart::_UkiHeart::_UkiHeart:
1:22 | アン: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:22 | Maddog: Omg the way I requested a bedtime stream
1:22 | ナノ: おはよう!!
1:23 | (Member (1 month)) つまりサヤン TSUMARI SAYANG: UKI UKI DAISUKI:_UkiPsyborg1::_UkiPsyborg2:
1:23 | (Member (2 months)) Min: :_UkiWoo1::_UkiWoo1::_UkiWoo1:
1:23 | (New member) booba milk tea🧋: :_UkiHeart::_UkiHeart::_UkiWahh::_UkiWahh:
1:24 | Katherine cai: uki！！！nn
1:25 | KICECREAM: ukiiiiiiii
1:25 | Imma eatcheese: HELLO
1:25 | Sakura: ukiii
1:25 | (Member (1 month)) Azsaki: :_UkiHeart::_UkiHeart:
1:25 | AMOUR.: HI UKIII
