0:48 | ❀Miles❀: 🇺🇲🇺🇲🇺🇲:eagle::eagle::eagle::eagle::eagle:🇺🇲🇺🇲🇺🇲🇺🇲:eagle::eagle::eagle:
0:48 | leo: HI VANTAAA
0:48 | Elizabeth T: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:48 | Sunny: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:49 | Yvonna Yeh: :purple_heart::blue_heart::yellow_heart:
0:49 | Lurking Puppy: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:50 | madi: CAWWWWWWWWW
0:50 | FayeForgot: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:50 | Oriaj Syno: CAW CAW
0:50 | Katty: HIIIIIIIIIIIIIIII
0:51 | s0daah: CAW CAW
0:51 | deric | デリク: caw caw
0:51 | llovemiraculous: CAW CAW
0:51 | kuresumiko⚡️🐏: helloooo:face-red-heart-shape:
0:51 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:52 | Shinoo: :purple_heart::blue_heart::yellow_heart:
0:52 | Leaa :3: CAW CAW :yellow_heart::blue_heart::purple_heart:
0:52 | SnowySilence: :purple_heart::blue_heart::yellow_heart:
0:53 | Vesper22: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:53 | jullissa: hi cheat
0:53 | Kade: :purple_heart::blue_heart::yellow_heart:
0:54 | Hanako Nyx: :purple_heart::blue_heart::yellow_heart:
0:54 | Kanata Katagiri [MFG GT86 Racer]: caw caw
0:54 | 𝓚𝓮𝓼𝓼𝓸: CAW CAW :purple_heart:
0:54 | 💚CupCat💚: :purple_heart::blue_heart::yellow_heart:
0:54 | eeee: CAW CAW
0:54 | Kyung: CAW CAW
0:55 | Anonymous Hippo: CAW CAW 🕺🏾💃🏿🕺🏾
0:55 | Dana: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:55 | Sunny: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:55 | flameing espreso (forever a kyomie)🤟🔮: :purple_heart::blue_heart::yellow_heart:
0:56 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:56 | ArchieAngel 💢🃏GALEGALLEONSTIDDIES: CAW CAW :purple_heart::yellow_heart::blue_heart:
0:56 | End: CAW CAW
0:56 | shuan_ v•u•v🍀: :purple_heart::blue_heart::yellow_heart:
0:56 | Izmaaa: :purple_heart::blue_heart::yellow_heart:
0:57 | Keoni K.: Let's gooooo!!
0:57 | Miryeoon: CAW CAW
0:57 | lil baby mina: LETS GOO KRISIS :blue_heart::purple_heart::yellow_heart:
0:58 | marshmallow kitty: :purple_heart::blue_heart::yellow_heart:
0:58 | duskat: CAW CAW:purple_heart::purple_heart::purple_heart: i was listening to depressing songs the whole time
0:58 | NiKeTyronshi: TIME FLIES SO FAST CAW CAW
0:58 | SearingWrath: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:59 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:00 | Mayrin Peredia: :purple_heart:
1:00 | small nerd kid: dance party caw caw
1:00 | Cherry!: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:01 | Reyna 💉🧻: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:01 | Kia: :purple_heart::blue_heart::yellow_heart:
1:01 | Betty Potato: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:01 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:01 | killu: HI VANTAA
1:01 | clearbubble: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:02 | aya !!: :hand-pink-waving::hand-pink-waving:
1:02 | fer!!: HIIII
1:02 | Fraye🦊🐣: HI CAW CAW
1:02 | seven: :purple_heart::blue_heart::yellow_heart:
1:02 | Yunii: :purple_heart::blue_heart::yellow_heart:
1:03 | Lurking Puppy: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:03 | 淵.: :purple_heart::blue_heart::yellow_heart:
1:03 | Miryeoon: :purple_heart::blue_heart::yellow_heart:
1:03 | lil baby mina: KRISIS COLLAB LGI :blue_heart::purple_heart::yellow_heart:
1:03 | LordKaiser [Luxurie] : not @ me having all the intros playing at once
1:04 | Shinoo: COLLAB WOOOHH :purple_heart::blue_heart::yellow_heart:
1:04 | SakuMicchon: CAW CAW
