4:43 | (Member (6 months)) AKM: わーい
4:44 | 斎藤: いくいくいく
4:45 | Vally_Vals: otsukaresama desu
4:45 | (Member (2 months)) Maldade01: :_Love::_Love::_Love:
4:46 | (Member (2 months)) 田中権蔵: :_SADGE:
4:46 | たこす: ありがたいです…
4:48 | midori: :purple_heart::purple_heart::purple_heart:
4:48 | (Member (6 months)) Saint: Thank you for the gifted membership zipli:_Love:
4:52 | (Member (6 months)) Zuppin’: 冗談なの…:pleading_face:
4:52 | みたらしmitarasi: Gifted POG
4:55 | (Member (6 months)) Evan: :_Surprised::_Surprised::_Surprised:
4:56 | Ctrl Del: yeah
4:56 | (Member (6 months)) Amu: :_Surprised::_Surprised:
4:57 | (Member (2 months)) KatsuSando: :_Hot:
4:58 | 桜花: 学校の疲れが飛ぶぅ！
4:59 | HOT RANDOM ELIRA'S FOREVER CAKE NOISES: maybe...
5:01 | (Member (2 months)) Maldade01: :_Surprised::_Surprised::_Surprised:
5:02 | (Member (6 months)) Hacchi: Y-yes
5:02 | (Member (2 months)) ピーポ: :_Hot::_Hot::_Hot:
5:03 | (Member (6 months)) zipli: :_Love::_Love::_Love:
5:05 | Math Monium: :flushed_face::flushed_face::flushed_face:
5:06 | (Member (6 months)) AKM: [JP]ちょっと肌を見せ過ぎかしら？
5:06 | (Member (6 months)) 龙 L: :_Surprised::_Surprised::_Surprised:
5:06 | (Member (6 months)) Amu: :_Hot::_Hot:
5:08 | (Member (2 months)) celine lin: :_Surprised::_Surprised::_Surprised:
5:09 | クマ: サムネを見て来ました！
5:11 | m4rk: this is normal
5:11 | (Member (6 months)) 斐羽 FEI YU: :_Hot::_Hot::_Hot:
5:14 | Halim Wong: poogg
5:15 | (Member (2 months)) adearest: :_Love::_Love::_Love:
5:15 | (New member) wai: :_Surprised::_Surprised::_Surprised:
5:15 | (Member (2 months)) Maldade01: Gifted POG :_Love::_Love::_Love:
5:16 | (Member (2 months)) KatsuSando: Adobro gifted pog
5:16 | m4rk: so normal
5:16 | (Member (6 months)) Zuppin’: 心拍数120
5:19 | はなりー / hanaly: :eyes:
5:20 | IC: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
5:21 | コトブキ: すき
5:23 | (jay)egg: pog
5:25 | takano iwasaki: kawaiiiiiii
5:25 | MommaAngelCat😺 (Hex'sB-dayTwin): Hi
5:27 | Hunoa-ふのあ: that headpattin hand in the thumbnail tho,TSKR :red_heart: 
5:28 | (Member (6 months)) AKM: [JP]とにかく、今日は私お休みだから、ちょっとカジュアルでリラックスした状態で、あなたと時間をすごしたかったの
5:29 | (Member (6 months)) Evan: Gifted POG
