1:46 | (Member (1 month)) CyRaLt: Clippers get ready we have lots homework after this same as artist too
1:47 | Chu: hiiii rennnnn glad to see youu
1:47 | (New member) kici: :_renMOUTH::_renMOUTH::_renMOUTH:
1:47 | (New member) Fishhhhhh🫶🏻: :_renCHEER::_renNOSEBLEED::_renNOSEBLEED::_renNOSEBLEED:
1:48 | Yen: hello Ren:green_heart:
1:48 | (New member) Orion: yum asmr
1:49 | (New member) Sage Eclipse: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:49 | (Member (1 month)) ㅎㅅ: :_renHUG::_renHUG::_renHUG:
1:50 | (New member) KURAI冥: :_renSQUISH::_renSQUISH::_renSQUISH:
1:51 | (Member (1 month)) jehya: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:51 | (New member) 花トラ🐾-Hanatora-: :_renHUG::_renHUG::_renHUG:
1:52 | (New member) 초비: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:52 | (New member) minmin: :_renMOUTH::_renMOUTH:
1:53 | (New member) CocoBear: :_renMOUTH::_renMOUTH::_renMOUTH::_renMOUTH:
1:53 | (Member (1 month)) Vanneko🐱: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:54 | (New member) kici: :_renHUG::_renHUG::_renHUG::_renHUG::_renHUG:
1:54 | goo.: :yt::yt::yt::yt::yt:
1:54 | (Member (1 month)) Cinthia 🌙: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:54 | (Member (1 month)) zoe • lifesnuggies: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:56 | (Member (1 month)) Lydia: :_renCHEER::_renCHEER::_renCHEER:
1:57 | (Member (1 month)) Shocking Strawberry: Going to squish Nessie to death :_renSQUISH::_renSQUISH::_renSQUISH:
1:57 | (New member) pien: :_renMOUTH::_renMOUTH::_renMOUTH:
1:57 | (New member) S0Li: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
