0:27 | CHLOE_MAKASALANAN: :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
0:27 | Pack Rat: :red_heart::red_heart::red_heart::red_heart:
0:28 | Phantom Wolf: Good evening and good morning everyone!
0:28 | Lynn: :gorilla::gorilla::gorilla::gorilla::gorilla:
0:28 | LEONA_vv: hihi
0:28 | ash [aesthaek]: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:28 | Riri: Oh boy, here we go again :eyes:
0:28 | Eve､: :rose:((:red_heart:⥎:red_heart:)):rose:
0:28 | (Member (2 months)) 言-Yan👹🧧[vox's little flower]: :_MiPOG::red_heart::red_heart::red_heart::red_heart::red_heart:
0:28 | (Member (2 months)) Yoora Nium: :_MiPray::_MiPray::_MiPray:
0:29 | (New member) Tokiyuki Natsu: yeahhhhhhhhh
0:29 | (New member) Fan Yu👹🧧: hiii milord
0:29 | (New member) andragneel_: daddyyyy :red_heart: :red_heart: 
0:29 | 陳yun: good morning!!
0:29 | yummies: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:29 | (Member (1 month)) jeelorz: :heart: :heart: :heart: :heart: :red_heart: 
0:29 | (Member (1 month)) Ked•ZHKK: :red_heart::red_heart::red_heart::red_heart::red_heart::smiling_face_with_tear:
0:29 | Marie mi :3: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:29 | Julianne Zamora: YOOOOOOHHHH!!!
0:29 | (Member (1 month)) Vox's burned gloves: omg omg omg
0:30 | (Member (2 months)) Remi: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | Vane: hiiiiiiii
0:30 | Ailina: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | yu-siou: :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
0:30 | Nantang: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | (Member (2 months)) 靜静 JingJing: no bgm milord!
0:30 | (New member) karly: ikz asmr
0:30 | AGIS: voxxx
0:30 | ハニ: hello～～～:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | (Member (2 months)) Nemui: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:30 | NAOMYSTA: EYYYYYYYYY
0:31 | PLUTO**: daddy！！！！！！！！！！！！！！！！！！！！！！！！！！
0:31 | TAGZDG: IT STARTEDD
0:31 | (New member) Geolia🐈🍬: HIIIII everyone~
0:31 | (New member) ice tea: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | 金在萱: Let’s go!!!!!!!
0:31 | Coco Nut: :red_heart::red_heart::red_heart:
0:31 | daizydiff: Hi chattt
0:31 | (New member) pofu_nyanya: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | Rayla Lilac: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:31 | (Member (2 months)) Moririn: :red_heart::red_heart::red_heart::red_heart:
0:32 | (New member) LuckyLcorn: hello！！！！
0:32 | (Member (1 month)) Shay: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:32 | Yukito.: hello milord
0:32 | NIDA: :red_heart::red_heart::red_heart:
0:32 | (New member) Lilac: May our souls be cleansed tonight 
0:32 | りしれ供さ小: :heart_suit::heart_suit::heart_suit::heart_suit:
0:32 | Kaz Melliza: milordddd
0:33 | しの -shino-: hi daddy:heart_suit:
0:33 | かふぇore: Hi daddy!!
0:33 | Mushroom: hi daddy
0:33 | Tayba: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:33 | (New member) cheeRIOs: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:33 | (New member) Ran Mochizuki : :red_heart: :red_heart: :red_heart: :red_heart: 
0:33 | (New member) 小秋天Aki: :_MiSmile::_MiSmile::_MiSmile:
0:33 | 阿糰: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:33 | KL_H: :red_heart::red_heart::red_heart:
0:34 | 𝚜𝚠𝟺𝚖𝚙_𝚌𝟶𝚛𝚙𝟹𝚜 :3: YOOOOO
0:34 | Platina: hiiiii
0:34 | notyourlevi: 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
0:34 | (Member (2 months)) cuppatokki: :red_heart::red_heart::red_heart:
0:34 | o: hiiiiiii
0:34 | (Member (2 months)) __vsnj__: hi milordddd 
0:34 | Ampochi: hold on to your chairs chat
0:34 | (Member (1 month)) Jin🍹: Hi chat! Hi milord! :_MiSmile::_MiSmile::_MiSmile:
0:35 | (Member (2 months)) 百瀬: :red_heart::red_heart::red_heart:
0:35 | (Member (1 month)) nix: bye prechat!
0:35 | (Member (1 month)) Vox's burned gloves: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:35 | 인호: yeahhhhhhh
0:35 | (Member (1 month)) RinRin: Hi milorddddd
0:35 | Loidd: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:35 | (Member (2 months)) [アイダ]Aida: live!:_MiPOG:
0:35 | BeepBoop: :red_heart::red_heart::red_heart::red_heart:
0:35 | yu yu: Let’s gooooo
0:35 | (New member) Goblin: :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
0:36 | (Member (1 month)) Kyoku One: no bgm?
0:36 | (New member) 堇jin: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | (Member (1 month)) Tsuki Rei: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | 🧧 Seance Party 🦊: Heeeeey chat
0:36 | wu xiaoyi: daddy！
0:36 | (Member (1 month)) Nori: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | (New member) のりみ: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | Masheru Walker: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | Su BAI: daddy！！
0:36 | 詠茹 陳: :red_heart::red_heart::red_heart::red_heart:
0:36 | Arkos👹🖤 [ ChatRules Teacup]: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | Forma Noctis: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:36 | Sherrys: :red_heart::red_heart::red_heart:
0:36 | EtsukiWho's alt acc: YES
0:36 | (Member (2 months)) ararerere👹🧧: :red_heart::red_heart::red_heart::red_heart:
0:37 | Rey_ee: Hiiiiiiiiiiiiiiii
0:37 | Soma Zaidi: FINALLY
0:37 | aikueee: Hi chat
0:37 | (New member) Beniqa: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | (Member (1 month)) Nii: :red_heart::red_heart::red_heart::red_heart:
0:37 | Ying: :red_heart::red_heart::red_heart:
0:37 | (New member) ほこり: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | Nanki Dong: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | (New member) ぷわおに: :_MiPray::_MiPray::_MiPray:
0:37 | (Member (1 month)) Akiha: :red_heart::red_heart::red_heart:
0:37 | (Member (1 month)) SuiSui39: hello daddy
0:37 | (New member) 林大葶 DaTing: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | 남희: Hill s
0:37 | (Member (1 month)) Kobee : :red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | Ruby Kuo: Daddy:red_heart::red_heart::red_heart::red_heart:Good evening
0:37 | Draconis: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:37 | (Member (2 months)) Trixxy 🌺: :red_heart::red_heart::red_heart::red_heart:
