0:36 | SweetPotatoHead: waaaaaaa
0:37 | LOCK ミ★: :dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:37 | lorilu: LETSSS F GOOOOOOO
0:37 | prizimss: YESSS
0:37 | mish🌸 {purple boy enthusiast💜}: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:37 | Neo: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:37 | Michael -: LETS GO!!!
0:37 | coco: Hellloooo
0:37 | Cofieh: It's happening :purple_heart::dizzy:
0:38 | tuberose rider : :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:38 | umbre_cat: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:38 | Jennifer: EYYYY:purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:38 | Misty Dream: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:38 | yuujin: WOOO
0:38 | fidel dujon: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:38 | giuu: hi chattt
0:38 | Sen💙: LET'S FUCKING GOOOOO
0:38 | Stardust Pie 🎭💫: LET’S GO
0:38 | maitrikka: finally awake for aster’s stream
0:39 | Angel132: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:39 | Sir Dino: HEWWO:purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:39 | Nobody: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:39 | tomobred: HIIIIIIIIII
0:39 | Keno: Hiiiiiiiiiii
0:39 | Rue Macaroo: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:39 | qnxvaaa: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy:
0:39 | renhavy: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:39 | Caramel: EYYYY
0:39 | Aoi☯️: LEZZGOOOO
0:39 | erin : YAYYY LETS GOOO
0:39 | blessessess ꨄ: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:40 | yan ling er: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:40 | Th30fficialL0s3r: Woo hello!!
0:40 | Akatsuki💜アカツキ: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:40 | __Margaret__: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:40 | Liya: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:40 | zoe: HELLO:purple_heart:
0:40 | Who?: :purple_heart::dizzy::purple_heart::dizzy:
0:40 | anonymousLu: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:40 | {•Ashley•}: AHHH
0:40 | isa: IKZZZ
0:40 | Akito Shinonome: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:40 | kiri who: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:40 | Aaron: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:41 | B • e • t • t • y: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:41 | 思雨[シウ]: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:41 | Chris Tileyz: IKZZZ
0:41 | paigey ♡: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:41 | Tiegan: HEWWOOOO 
0:41 | Sean Taggart: here we go
0:41 | Pippo: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:41 | moccano: ASTER....
0:41 | サキコ_Sakiko: LETS GOOOOOO:purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:41 | HoneyMint: :dizzy::purple_heart:
0:42 | AngeIxqu^: YAYYY :purple_heart::dizzy::purple_heart:
0:42 | Crimsonne: IKZ :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:42 | kio ☆: HEWWWOOOO FELLOW ARCADIENS :purple_heart::dizzy:
0:42 | Thanyaporn Prasop: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:42 | Kate: Hellooooo
0:42 | のーちす: hellooo
0:43 | ☆T0BY☆: hello!
0:43 | ぜろ: Hi
0:43 | LunaPuna: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:43 | Chiaki: :purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:43 | PheSweets: IM SO EXCITED 
0:43 | Bonnie: HI GUYSSSSSSS
0:43 | Liz: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:43 | noe: YAYYYY :purple_heart::dizzy::purple_heart::dizzy:
0:43 | bwiimaxx {Emeyekskii}: hewwooooo
0:43 | K0nbini<3: HI EVERYONE :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:43 | koumi: WOOO
0:43 | AI_Mai: Hewwwwo:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
0:44 | shin: SO EXCITED :flexed_biceps::flexed_biceps::flexed_biceps:
0:44 | LRC: :purple_heart::dizzy:
0:44 | Sumiko Seika: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:44 | WENNA: Hellloooooo~~
0:44 | Elly: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:44 | Magic tv man : hello
0:44 | Alanimations: LET'S FUCKING GO I CANT WAIT TO SEE DYNAMICS WOOOO
0:44 | nyanya: :dizzy::purple_heart:
0:45 | Nikkori: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy: 
0:45 | :.sweety __: ELLO:purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:45 | Loona: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:45 | 3XCLUS1VE.C0M: :red_heart:︎︎:red_heart:︎︎:red_heart:︎︎:red_heart:︎︎:red_heart:︎︎:red_heart:︎︎:red_heart:︎︎:red_heart:︎︎
0:45 | ♤Blurry face♤: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:45 | simplyliliana: hellooooo
0:45 | hmmmmmmmmmmmm: I'VE BEEN WAITING SO LONG FOR THIS STREAM:purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:45 | pookieverse: STREAM LIVE POGGGG
0:45 | {•Ashley•}: :dizzy::purple_heart::dizzy::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:46 | no: Hiii
0:46 | Cherry: ASTEEEEEEEEEEEEEER
0:46 | Shuna ;): HEWWO ASTER !!!
0:46 | winnie: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:46 | Solaris: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:46 | ellle: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:47 | LIAHO LISTRA: HEWWOOOO
0:47 | Tsumu-つむ-: LETS GOOOO:dizzy::purple_heart::dizzy::purple_heart:
0:47 | kurio z: hewwwoooooo:purple_heart:
0:47 | Cofieh: YESS
0:47 | Kate: :purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:47 | Jana Nová: CHAOS TIMEEEEEE
0:48 | plonk: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:48 | Michael -: Good luck Haru!!
