0:37 | (Member (2 months)) rain: :_YuQArson::_YuQArson:
0:37 | (Member (2 months)) Lush Step Co-viewer🥽🌒: :_YuQArson::_YuQArson::_YuQArson:
0:37 | wed smoker: WOOO
0:37 | Zoffy000🍉: 💃🏼💃🏼💃🏼
0:38 | sunblonded: WOOOO
0:38 | (Member (2 months)) DianaSaru: WE STARTING LETS GOOOO:_YuQStick::_YuQStick:
0:38 | (Member (2 months)) juno ♡: :_YuQArson::_YuQArson::_YuQArson:
0:38 | •SAYAKA•: IKKKKZZZZZZ
0:39 | (Member (2 months)) Yuvie。: :_YuQArson::_YuQArson::_YuQArson:
0:39 | (Member (2 months)) Callie: :_YuQArson::_YuQArson::_YuQArson:
0:39 | (Member (2 months)) Daisy Mae: :_YuQHeart::_YuQHeart::_YuQHeart:
0:39 | faith ʚĭɞ: wooooo
0:39 | (Member (2 months)) mon__san: lets go:_YuQArson::_YuQArson:
0:39 | midori: :yellow_heart::yellow_heart:
0:40 | (Member (2 months)) Laura: YAY :_YuQStick:
0:40 | (Member (2 months)) Aneesa: :_YuQArson::_YuQArson::_YuQArson:
0:40 | (Member (1 month)) Hanayuki💫: :_YuQArson::_YuQArson:
0:40 | (New member) midwestavenga: :_YuQArson::_YuQArson::_YuQArson:
0:40 | Kumomo: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:40 | Mirh: :hand-pink-waving::hand-pink-waving:
0:41 | ゆゆ(yuyu): ikzzz
0:41 | (Member (2 months)) epikaraara: :_YuQHeart::_YuQHeart::_YuQHeart:
0:41 | Myn Chans: IKZZZZ :yellow_heart::yellow_heart::yellow_heart:
0:42 | (New member) dania: :_YuQHeart::_YuQHeart::_YuQHeart::_YuQHeart:
0:42 | Kan: Ikz
0:42 | (Member (2 months)) izzyisabaka: :_YuQArson::_YuQArson::_YuQArson:
0:42 | (Member (1 month)) Akiryu Vel: :_YuQHeart::_YuQHeart::_YuQHeart:
0:42 | kassy :]: LETS GOOOOOO
0:43 | (Member (2 months)) Koji-kun: :_YuQHeart::_YuQHeart::_YuQHeart:
0:43 | (Member (2 months)) SkiyLine♦️🖋️: :_YuQArson::_YuQArson::_YuQArson:
0:43 | •SAYAKA•: IKKKZZZZZZ
0:43 | (Member (1 month)) boba: :_YuQArson::_YuQArson::_YuQArson:
0:44 | (Member (2 months)) Yuvie。: WOOOO IKZZZ
0:44 | kay!: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:44 | (New member) ƒei: IKZZZZ
0:44 | (Member (2 months)) Jamie M West: Drunk?! Oh boy. Hiccups incoming 
0:44 | Roca: ikzzzzzz:virtualhug:
0:44 | Emberpersona: Woooo
0:44 | Nick Wan: IKZ
0:44 | (Member (2 months)) Rina NomNom: LET'S GOOO:_YuQArson:
0:45 | (Member (2 months)) Christy^^: IKZZZZ
0:45 | 🦋 l e x i 🦋: WOOOOOO
0:45 | (New member) Jen🧻: :_YuQArson::_YuQArson::_YuQArson:
0:45 | Leena: Drunk Wilson ?????
0:46 | Flushgedog: YAYAYAYA
0:46 | (Member (1 month)) Jihan Nabila Fitrasani: :_YuQArson::_YuQArson::_YuQArson::_YuQArson:
0:46 | kareko🃏🔪: LET'S GOOOO
0:46 | Lady Brushogun 2.0: Finally :D
0:46 | (Member (2 months)) 小戒adrian: :_YuQStick::_YuQStick::_YuQStick:
0:47 | (Member (1 month)) Goose: LETS GOOOO
0:47 | (Member (2 months)) pao: :_YuQHeart::_YuQHeart:
0:47 | the other axel: IKZZZZ :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:48 | (Member (1 month)) Kiri: :_YuQHeart::_YuQHeart::_YuQHeart:
0:48 | (Member (2 months)) Yu-Ling💕: :_YuQArson::_YuQArson::_YuQArson:
0:48 | (Member (2 months)) Yuvie。: :_YuQArson::_YuQArson::_YuQArson:
0:48 | yzabel ♡: WOOOOOO
0:48 | (Member (2 months)) Avoki_: :_YuQArson::_YuQArson::_YuQArson:
0:49 | (Member (2 months)) Windy is stupid: :_YuQArson::_YuQArson::_YuQArson:
0:49 | (Member (2 months)) Callie: let's gooooooo:_YuQHeart::_YuQHeart:
0:49 | (Member (1 month)) harps🥽💫: :_YuQHeart::_YuQHeart::_YuQHeart:
0:49 | (Member (2 months)) miikou _: :_YuQArson::_YuQArson:
0:49 | (Member (2 months)) DakkuMauji: lets goooo
0:49 | (Member (2 months)) saki: ohayu:_YuQStick::_YuQStick::_YuQStick:
0:50 | (Member (2 months)) Nota🐲: IKZ:_YuQStick:
0:50 | (Member (2 months)) 椰果w: :_YuQArson::_YuQArson:
0:50 | (Member (2 months)) Yuvie。: OHAYUUUU
0:50 | (Member (2 months)) chels ♡: :_YuQArson::_YuQArson::_YuQArson:
0:51 | (New member) cozycloudberry: :_YuQArson::_YuQArson::_YuQArson:
0:51 | Fonsine 🔫🐻 but Kyorphaned : HI WILSONN
0:51 | Kai٩( 'ω' )و: :hand-pink-waving::hand-pink-waving::hand-pink-waving:
0:51 | (Member (2 months)) Magical Gunner: ikz:_YuQStick::_YuQCheer::_YuQArson:
0:51 | 🦋 l e x i 🦋: ikz!
0:51 | (New member) Tai_🍓: :_YuQArson::_YuQArson::_YuQArson:
0:51 | mishy: ikzzzz!!
0:54 | ama: yippe
0:54 | kay!: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:54 | (Member (2 months)) Arke: :_YuQArson::_YuQArson::_YuQArson:
0:54 | Mino 🌺: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:54 | (Member (2 months)) Bug: :_YuQHeart::_YuQHeart::_YuQHeart:
0:54 | (Member (2 months)) Yuvie。: OHAYUYU
0:54 | ZeNothing: I hope my damn wifi won;t ruin this for me lmao
0:55 | (Member (1 month)) Jessi: :_YuQArson::_YuQArson::_YuQArson:
