0:13 | (New member) dyaymi: :microphone:(^o^)7:birthday_cake:
0:13 | Appleπ: Happy Birthday Taichoouuu!!!
0:13 | Hanaruse: HAPPY BIRTHDAY TAICHOU!! :yellow_heart:
0:13 | elle ☕: lezgoioiii
0:13 | すいま: Sonny HappyBirthday!!!
0:14 | (New member) Luminary Soo: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyNegi:
0:14 | Val~: HAPPY BIRTHDAAAY TAICHOUU :birthday_cake::yellow_heart::yellow_heart:
0:14 | Momomica: LETS GOOOOOOOO :microphone:(^o^)7:birthday_cake:
0:14 | venturine: yaaay
0:14 | red wine: STARTING
0:14 | Dolphineko: happy birthday taichou
0:14 | Mesomi: Happy Birthday !
0:14 | (New member) 皇: HAPPY BIRTHDAY :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:14 | (New member) z_z: happy birthday sonny :_sonnyLight::_sonnyNegi:
0:14 | (New member) na•no: HAPPY BIRTHDAY SONSHINEEE
0:14 | (New member) Eva Helson: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
0:14 | (New member) daisuki: WOOOOO LETS GO TAICHOU
0:14 | risa: ikz!! happy birthday taichou! :yellow_heart::yellow_heart:
0:14 | (New member) Two Na二納: :_sonnyLight::_sonnyLight::_sonnyLight:
0:14 | Hoshiiikodan ☆: im nervous for taichou dkskdks
0:14 | (New member) Muufi (Dong²): :_sonnyLight::_sonnyNegi::_sonnyLight:
0:14 | 湯yu: :microphone::microphone::microphone::birthday_cake::birthday_cake::yellow_heart::yellow_heart:
0:15 | YU: :star_struck::star_struck::star_struck::star_struck::star_struck:
0:15 | eitse : OMG
0:15 | Yeah: Happyyy birthayyy sonnyyy
0:15 | (New member) Adhelheid ⚡🌌: :microphone:(^o^)7:birthday_cake:
0:15 | (New member) Shouしょう: :_sonnyLight::_sonnyLight::_sonnyLight:
0:15 | Like A Café: Happy Birthday!!!!!
0:15 | Yufy Kime🪄🎻: happy birthday good luuuck
0:15 | (New member) Booberry: 9k HOLY HELL IKZZZZ
0:15 | elle mihara: guys don't forgot about the 3 emoji limit !! <33
0:15 | 長谷川パセリ: お誕生日おめでとうございます！
0:15 | (New member) DonDon: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:15 | (New member) ろん: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:15 | (New member) UwU 0w1: :_sonnyLight:
0:15 | Haruko: Happy Birthday
0:15 | yana ★: YAYYYYY
0:15 | (New member) もっふぃ: 隊長 お誕生日おめでとう
0:15 | (New member) tokino: :_sonnyUee:
0:15 | MONICA🌷: IKZ!!!
0:15 | Shanice :3: HAPPY BIRTHDAY TAICHOUUUU
0:15 | (New member) MitsuhaChan: :_sonnyLight::_sonnyLight::_sonnyLight:
0:15 | Claire Ginger: LETS GOOOOO
0:15 | 村長: Taichou!!!!!
0:15 | (New member) Tiaasuna: HAPPY TAICHOU DAY:_sonnyLight::_sonnyNegi::_sonnyLight:
0:15 | amiiio: IKUZOOO
0:15 | (New member) 36_Jasmine Ghaniya Khayra: YAAAYY
0:15 | (New member) Airin Ise: :_sonnyLight::_sonnyBaibai:
0:16 | (New member) あさひ: Happy Birthday:yellow_heart::yellow_heart:
0:16 | (New member) ヒエン: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:16 | (New member) SayMyName: HBD sonny:_sonnyNegi:
0:16 | Reiko💌: :yellow_heart::yellow_heart::yellow_heart:
0:16 | (New member) NEKO Yuuki: :_sonnyLove::_sonnyLove::_sonnyLove:
0:16 | Bisha: HAPPY BIRTHDAY TAICHOU!! :yellow_heart::yellow_heart:
0:16 | (New member) いずも: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:16 | (New member) 炭水キャベツ: :_sonnyLight::_sonnyLight::_sonnyLight:
0:16 | 可憐のAkumaㅋㅋㅋ: Happy birthday !
0:16 | (New member) 禊kei: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:16 | (New member) hylm: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:16 | (New member) 琥珀【こはく】: きちゃ！
0:16 | (New member) 巻マキ『MAKI』: :_sonnyLight::_sonnyLight::_sonnyLight:
0:16 | (New member) Alvernia: :microphone:(^o^)7:birthday_cake:
0:16 | R_Tsumiki: IKZZZZ
0:16 | YeetDoesStuff: helo i just came !!
0:16 | Szainx: IKZZZZ
0:16 | rib: :3
0:16 | ひまり: Happy Birthday !!!:birthday_cake:
0:16 | Jacinta wants to learn English!!🍉: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:16 | 堇Sumire: HAPPY BIRTHDAY TAICHOU!!
0:16 | - nyx: (^o^)7:birthday_cake:
0:17 | (New member) Mashroom Gu: :microphone:(^o^)7:birthday_cake:
0:17 | haru: Happy Birthday Sonny!
0:17 | yoruha: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:17 | (New member) めいこ: hai:_sonnyKeirei:
0:17 | (New member) nemumu: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:17 | Yam -ヤム: (^o^)7 :birthday_cake:
0:17 | (New member) 佐上_Sagami: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:17 | haifa: HLELELEOOOOO
0:17 | mayoroni: HAPPY BIRTHDAY TAICHOUUU!!
0:17 | (New member) MIMI: :_sonnyLight::_sonnyLight::_sonnyNegi::_sonnyNegi:
0:17 | CHICHI: GOGOGO!!!!
0:17 | (New member) Yuri: :microphone:(^o^)7:birthday_cake:
0:17 | squitto: LE'TS GO! :yellow_heart::yellow_heart::yellow_heart:
0:17 | rei: HAPPY BIRTHDAY TAICHOU :microphone:(^o^)7:birthday_cake:
0:17 | (New member) hirokun: HAPPY BIRTHDAY TAICHOU
0:17 | Kimmyra: HAPPY BIRTDAYY TAICHOUUU :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:17 | mame arare: Ikzzzzzz
0:17 | Xayalicia: :microphone:(^o^)7:birthday_cake:
0:17 | Waffuru: HAPPY BIRTHDAY TAICHOU :yellow_heart::yellow_heart::yellow_heart:
0:17 | Raniya Nirmala: Happy birthday taichou!
0:17 | (New member)  erish : :_sonnyNegi::_sonnyNipaa::_sonnyNegi:
0:17 | astro: STARTING LET'S GOOOOO :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:17 | (New member) Remi Usagi: IKZ IKZ IKZ
0:17 | 炙燒: Happy birthday:yellow_heart::yellow_heart::yellow_heart::birthday_cake:
0:17 | Sena: ( ˙꒳˙ )7 :birthday_cake:
0:17 | (New member) rry: TAICHOUUU:_sonnyKeirei::_sonnyKeirei:
0:17 | (New member) dg: :_sonnyLight::_sonnyBlush::_sonnyLight:
0:17 | (New member) Stephanie: :microphone:(^o^)7:birthday_cake:
0:17 | Riririn 🍥: LETS GOOOOO
